Max_Length,Max_Weight,Input_Length,Input_Weight,Next_Fit,First_Fit,Best_Fit_W_L,Best_Fit_W_W
17.170498, 416.7017, [6.185149|8.655192|9.204945|7.1702933|8.431966|8.14376|11.1903715|15.385389|14.698995|13.662266], [1.5153615|2.120522|2.2552114|1.7567219|2.0658317|1.9952211|2.741641|3.7694204|3.6012537|3.3472552], 7,7,8,8
13.872675, 415.93326, [8.85032|12.728471|9.518698|13.907816|15.51462|10.424484|7.5150666|12.546821|8.704262|8.159786], [2.1683283|3.1184754|2.3320808|3.407415|3.801082|2.5539987|1.8411913|3.073971|2.132544|1.9991477], 8,5,10,10
36.458668, 509.26324, [14.784099|10.4580555|16.663662|8.512465|16.0322|8.741697|10.88964|14.520468|12.662183|14.271622], [3.6221042|2.5622237|4.0825973|2.085554|3.9278889|2.1417158|2.6679618|3.5575147|3.1022348|3.4965472], 5,6,5,5
28.060217, 170.76442, [13.658318|10.327967|12.311525|11.537423|9.237217|12.672638|8.11432|8.443887|9.144254|14.378975], [3.3462877|2.5303519|3.0163238|2.8266687|2.2631183|3.1047964|1.9880084|2.0687523|2.2403421|3.5228488], 5,6,6,6
28.024872, 437.36264, [11.318699|6.9244227|7.5806046|13.895183|9.113424|8.295316|7.7520523|15.079514|16.940935|13.966091], [2.7730813|1.6964836|1.8572481|3.4043198|2.232789|2.0323524|1.8992528|3.694481|4.150529|3.4216924], 6,6,6,6
22.990662, 169.43796, [11.583463|6.9977465|7.3649225|14.138241|12.143331|14.66462|13.028854|9.028724|13.773749|10.685081], [2.8379483|1.7144479|1.804406|3.463869|2.975116|3.592832|3.1920693|2.2120373|3.3745687|2.6178448], 7,6,8,7
9.089594, 529.1134, [6.3448577|14.63889|9.713901|11.894267|13.621347|11.216315|14.886262|8.669023|14.480389|16.260046], [1.5544901|3.586528|2.3799057|2.9140954|3.3372302|2.7479973|3.647134|2.1239104|3.5476952|3.9837112], 2,6,10,10
31.712204, 448.22507, [7.967669|6.460066|7.577414|7.3159676|6.721101|10.919283|15.422218|7.086377|15.107233|6.6834116], [1.9520789|1.5827161|1.8564664|1.792412|1.6466697|2.6752243|3.7784436|1.7361624|3.701272|1.6374358], 4,5,4,4
35.45327, 116.28882, [14.209023|15.476372|8.282966|7.6883664|9.258693|8.8092165|15.333243|13.977075|10.468042|14.689696], [3.4812107|3.791711|2.0293267|1.8836498|2.2683797|2.158258|3.7566447|3.4243834|2.5646703|3.5989757], 4,6,5,5
11.179097, 510.19427, [8.967805|16.034847|12.922816|12.509011|15.202472|14.887361|8.845326|8.0086|14.665555|7.2019134], [2.197112|3.9285376|3.16609|3.0647078|3.7246056|3.6474032|2.167105|1.9621071|3.593061|1.7644688], 4,5,10,10
8.622019, 422.8648, [12.668789|10.231386|11.13812|14.354335|9.914429|15.840073|7.263985|15.7982235|15.929479|6.3858156], [3.1038532|2.5066895|2.7288394|3.516812|2.429035|3.880818|1.7796763|3.8705647|3.9027224|1.5645248], 3,5,10,10
38.318947, 231.7253, [12.819115|8.956214|16.873983|16.835918|6.5581274|7.352216|12.638654|13.038066|12.956079|16.745144], [3.1406832|2.1942725|4.1341257|4.1248|1.6067412|1.8012929|3.09647|3.1943262|3.1742392|4.10256], 5,7,5,5
26.568794, 232.51567, [9.665264|16.862597|8.534642|9.868375|16.597988|10.956159|15.843566|6.568113|6.3373804|9.551314], [2.3679898|4.131336|2.0909874|2.4177518|4.066507|2.684259|3.8816736|1.6091876|1.5526582|2.340072], 6,5,6,6
7.84165, 388.7781, [8.110706|10.56832|13.023099|9.10178|14.798077|16.716772|15.036457|8.488899|11.831434|16.920305], [1.987123|2.5892384|3.1906593|2.2299361|3.6255288|4.095609|3.683932|2.0797803|2.8987014|4.145475], 1,6,10,10
12.0798, 177.22968, [14.90705|12.622766|14.653381|12.265729|12.847682|9.657298|15.734897|6.7196856|8.83848|15.422021], [3.6522274|3.0925775|3.5900784|3.0051036|3.1476822|2.366038|3.8550496|1.646323|2.1654277|3.7783952], 4,5,10,10
26.318876, 421.20972, [14.406421|6.80069|9.06822|6.5184855|7.956698|6.2216315|15.619821|8.984828|6.859124|8.152485], [3.529573|1.666169|2.221714|1.597029|1.949391|1.5242997|3.8268561|2.201283|1.6804854|1.9973588], 4,6,5,5
34.225082, 51.462723, [13.421717|8.93351|7.0745034|10.513465|10.469903|6.686419|7.7114873|8.864661|16.842157|16.859701], [3.2883205|2.18871|1.7332534|2.575799|2.5651262|1.6381726|1.8893144|2.171842|4.1263285|4.1306267], 4,7,4,4
35.11913, 196.6819, [16.450485|13.53054|14.12072|14.394845|6.0780396|15.2348585|10.801817|7.671647|16.025978|11.921555], [4.030369|3.3149824|3.4595764|3.526737|1.4891198|3.7325404|2.646445|1.8795536|3.9263647|2.920781], 4,5,5,5
