Max_Length,Max_Weight,Input_Length,Input_Weight,Next_Fit,First_Fit,Best_Fit_W_L,Best_Fit_W_W
42.278473, 455.8978, [17.759195|24.341753|22.576647|21.922523|22.902159|21.078632|19.30396|25.659582|26.671986|16.878113], [318.27466|406.99646|355.49106|305.72214|468.8199|165.38414|246.56131|345.35037|211.98344|268.48883], 1,10,10,10
28.235056, 34.99535, [17.205442|20.465042|17.531485|22.021053|18.945145|18.653227|20.09309|25.732384|26.650766|17.278984], [338.27405|470.34286|464.79773|513.34717|224.64626|162.67488|265.482|480.46344|468.59766|365.33832], 1,10,10,10
13.132285, 353.78342, [26.03644|26.656012|20.41282|17.590733|21.638592|25.828533|21.174688|17.961115|19.219412|26.05783], [104.95181|293.91492|220.15865|126.93297|403.26193|113.14919|89.60397|489.97833|485.4813|140.95201], 1,10,10,10
19.298271, 125.68799, [24.73374|18.978203|21.128286|20.286177|24.34071|25.465937|21.989187|16.381046|26.135967|20.220497], [151.8323|210.04773|214.01256|221.73813|220.64825|202.09889|199.69658|306.26126|323.8973|374.1535], 1,10,10,10
25.333036, 56.587276, [22.694849|21.002148|23.144642|23.083672|21.413967|22.027264|20.735355|19.047895|22.103683|18.890902], [126.44166|487.499|91.93837|303.92706|118.76341|141.57507|327.83972|372.7516|465.65082|268.97675], 1,10,10,10
8.497398, 389.5676, [23.097666|18.619896|25.381273|19.109314|19.728592|16.163582|20.891245|22.705853|19.78167|23.130562], [46.16115|272.6798|381.78647|134.76222|110.00779|285.08722|297.63217|273.19608|371.0118|332.32864], 1,10,10,10
16.25697, 263.62137, [22.385519|25.766684|20.907484|17.111504|21.154942|17.677158|22.49268|23.849154|21.372831|26.266531], [106.79116|507.9379|175.88806|110.05915|508.86856|167.95984|105.7162|57.117027|86.43465|524.6552], 1,10,10,10
10.862614, 158.03308, [19.177029|17.81753|24.129557|17.204538|22.836662|18.787674|25.987604|18.468334|16.141188|24.560644], [506.7823|53.02202|378.57355|379.0682|107.981064|65.98612|131.44572|179.88187|302.78296|300.00366], 1,10,10,10
23.12182, 243.00562, [25.728191|23.734852|19.691782|19.864914|23.683317|21.358372|23.680405|23.611847|17.69281|24.92443], [315.8055|367.20935|242.0762|258.95|473.1919|436.2382|229.44812|341.57373|494.29657|333.792], 1,10,10,10
39.156895, 73.66519, [20.64252|26.751383|17.756273|21.425493|26.993279|20.770752|18.239872|20.581553|22.804535|17.034468], [120.453896|182.42508|72.16247|454.54657|80.47371|473.54327|200.40678|253.63194|488.43784|332.31882], 1,10,10,10
40.168922, 356.3953, [25.4274|26.31195|26.430153|16.86302|24.597555|24.152086|25.822243|21.838266|24.278837|24.150719], [375.948|334.4583|390.64703|259.3538|497.68707|417.30417|151.65752|392.22992|179.38847|350.31628], 1,10,10,10
29.200943, 95.1752, [19.460867|21.26462|26.527014|20.404934|24.726324|18.099318|20.801857|19.258335|17.658546|21.969774], [161.41507|502.00064|411.30606|423.84717|62.77334|398.10712|217.54276|203.61452|447.81342|435.90146], 1,10,10,10
38.017094, 453.40634, [19.08253|24.99865|19.874277|17.551378|26.155903|16.86149|20.792202|21.757303|24.959288|22.755814], [503.64948|453.35684|162.69789|167.45596|484.42422|244.22873|477.9081|360.15985|100.39247|427.07748], 1,10,10,10
15.7518, 258.50034, [24.116474|25.25161|24.692072|26.692451|22.949472|18.362677|24.355705|22.500303|26.318766|20.349611], [134.87003|184.93727|522.49084|276.11288|276.14328|364.52274|122.52111|196.9332|197.99187|218.43178], 1,10,10,10
36.260098, 466.168, [21.323627|16.044348|20.995485|24.539536|22.504911|26.705563|17.958776|19.235348|18.959103|18.5416], [105.354485|503.91324|249.15417|179.00296|228.78777|436.76086|504.51358|266.86694|146.50378|152.05362], 1,10,10,10
36.24603, 264.00558, [17.858704|17.309555|26.224554|22.53905|17.053532|19.895458|24.136755|25.01486|23.091047|16.055014], [455.55627|409.05402|135.21361|420.70474|57.6607|269.8376|383.5332|303.64084|448.73502|216.61946], 1,10,10,10
42.75723, 47.236057, [16.95468|21.932196|24.73963|24.018879|22.490688|24.98401|25.439827|20.778044|19.726954|18.382154], [207.34589|91.859116|509.74646|271.65372|472.37833|312.06924|83.07492|109.55488|409.04742|477.47403], 1,10,10,10
38.1557, 89.66356, [19.099287|26.558434|20.178802|16.769283|25.379986|23.435507|19.374668|26.533075|24.323715|22.078636], [191.94174|164.72733|288.7865|90.79111|203.53801|403.35825|300.25485|444.69925|469.12146|359.756], 1,10,10,10
21.502842, 435.3682, [19.117027|19.6101|20.844767|25.58428|19.465015|25.066187|23.716795|16.050364|21.148968|22.490606], [374.32565|91.37422|441.83188|151.40173|178.49304|168.21573|245.99573|63.773216|433.46985|280.80112], 1,10,10,10
13.253862, 487.96347, [18.681128|22.685719|19.047073|18.004951|16.494213|24.963884|23.115736|17.918392|23.295353|18.177652], [82.01502|332.8157|84.563225|339.74207|196.74226|328.49432|351.48627|395.87164|225.5191|326.3092], 1,10,10,10
