Max_Length,Max_Weight,Input_Length,Input_Weight,Next_Fit,First_Fit,Best_Fit_W_W,Best_Fit_W_L
11.954121,111.62272, [23.92141|26.709875|26.68205|16.229395|24.047184|22.22773|21.486952|17.332897|22.692255|22.476545], [33.65788|492.63986|151.51105|268.84756|66.33334|112.86026|471.3391|217.27768|175.14484|527.3787],1,10,10,10
22.003174,530.534, [26.455322|18.501652|22.998793|20.38179|23.809309|26.13245|23.285742|16.882517|17.53999|20.469437], [68.88553|458.20963|180.00545|168.03554|82.919|57.36707|381.431|86.31851|38.47951|235.36356],1,10,10,10
7.63166,106.08456, [18.862656|17.228533|21.160908|22.423384|18.948282|26.896622|25.356943|16.321222|17.789827|21.362133], [448.9014|119.88513|342.2525|61.58766|335.01556|500.52487|447.79053|96.60796|118.919945|228.14244],1,10,10,10
38.482304,375.8914, [26.405914|25.021072|22.644335|22.510067|24.976774|23.806154|21.123564|17.576752|17.490978|16.171583], [484.99823|284.4283|445.1504|452.70877|493.05908|303.95776|71.55161|377.82407|410.3246|34.355118],2,10,10,10
18.49995,269.16455, [23.321125|18.505928|19.765581|20.028336|23.649763|22.590425|26.545744|26.83007|21.61117|19.27545], [199.3209|100.9776|519.8072|435.8944|444.02777|329.63846|448.49255|82.47931|388.29813|153.59335],1,10,10,10
25.894066,526.2259, [25.052423|20.501549|26.127485|18.585299|22.275879|22.741219|22.05735|21.62563|18.878782|19.474197], [411.42538|103.72571|196.96074|163.83505|247.36623|430.1064|483.2789|133.52621|200.54442|140.64029],1,10,10,10
34.691494,528.8481, [26.124342|21.968334|16.806873|20.69658|17.760471|16.504963|20.656244|17.694656|17.96723|26.167221], [413.6565|131.65092|419.52707|433.43863|349.8503|505.55948|38.497143|272.2405|397.24908|502.91043],1,10,10,10
9.911409,484.94464, [21.001328|17.95772|17.83013|25.146212|22.156954|19.144989|20.801533|16.723818|24.513393|20.7222], [163.51776|119.800186|39.84688|57.073235|425.82574|100.32925|388.55176|301.90094|372.45752|357.0686],1,10,10,10
23.898058,258.3274, [18.82554|23.807571|22.71861|22.50793|16.60405|21.433046|23.67407|17.486897|21.618883|19.991188], [391.25|370.36392|79.16338|445.9305|142.72453|488.22803|504.20282|274.83743|494.4716|67.83909],1,10,10,10
36.08849,332.74908, [17.887527|19.838099|24.695154|22.933016|18.430838|22.342041|21.120096|18.84563|23.13618|17.410532], [125.98788|170.89462|386.37753|38.32171|426.5214|34.267822|131.29907|428.34274|520.0011|462.43097],2,10,10,10
21.360664,96.8655, [21.061455|22.155653|17.157736|26.884192|17.941065|16.198921|24.38523|24.257053|20.24515|17.61969], [514.04614|335.90182|467.62787|421.28656|180.03998|470.22473|442.32797|196.30777|217.65175|31.263504],1,10,10,10
23.865654,373.73563, [26.671242|26.042469|19.081446|24.965055|19.919016|18.569944|17.423342|25.31657|16.085798|26.779922], [145.44788|482.4024|303.3393|459.70425|34.88318|448.18604|160.65288|380.36697|514.22534|266.5362],1,10,10,10
21.866476,45.973206, [23.993927|21.047441|21.893435|25.124214|26.909761|18.920563|21.45146|24.56418|20.240414|17.579075], [120.75848|276.06042|398.11435|160.0305|72.540695|413.34622|523.55194|309.74057|150.82095|344.9556],1,10,10,10
8.123128,66.16554, [19.45227|25.373615|25.568775|19.645813|19.948805|21.977217|22.04013|19.41008|24.315506|21.91298], [416.5737|484.35443|65.90274|288.2762|424.63934|171.98181|218.39723|126.79909|373.3674|456.71027],1,10,10,10
6.427173,144.97108, [26.803755|23.13757|24.16221|24.144411|22.984901|21.154886|16.854408|20.547228|18.127428|18.65512], [400.73447|329.84903|418.90695|30.119123|51.740032|342.35352|419.92654|355.90936|485.65118|141.72343],1,10,10,10
19.485905,104.73799, [21.054722|26.537567|17.869461|25.010935|17.043344|17.66714|25.372345|22.142736|19.8646|18.309994], [376.04047|442.50778|487.46353|109.37183|251.8626|473.67142|404.63806|487.15695|36.234657|270.7576],1,10,10,10
