Max_Length,Max_Weight,Input_Length,Input_Weight,Next_Fit,First_Fit,Best_Fit_W_L,Best_Fit_W_W
23.01123, 332.44458, [18.939388|19.255737|19.309225|19.339691|20.451994|21.857851|22.333801|22.875986|24.115032|25.092106], [492.11346|220.28767|456.34418|371.99188|480.22784|92.10157|229.08318|144.55394|501.92285|368.0629], 1,10,10,10
36.27004, 177.22813, [16.806208|18.040812|20.776054|22.343206|22.938173|23.240225|23.868368|24.522964|24.945019|25.053288], [509.90378|509.83737|382.9361|377.57797|79.80451|487.87085|338.24594|241.1658|233.81758|123.62996], 1,10,10,10
26.626322, 466.4249, [16.35521|16.632309|17.20592|18.59053|20.442757|21.17451|22.027767|22.26985|23.972197|25.41369], [125.63401|278.72107|482.7452|460.12738|382.40417|298.56952|387.8198|43.45754|345.30902|63.469482], 1,10,10,10
16.55739, 269.59845, [16.594738|17.184784|17.411942|17.911684|19.566257|22.696264|22.921|23.255974|23.498718|24.672546], [244.03001|439.75162|107.098114|423.06702|479.84207|243.44537|315.94016|363.89142|401.38416|293.25095], 1,10,10,10
35.300186, 112.103004, [16.077703|16.823582|17.07407|17.242111|18.798615|19.127703|21.93623|24.072317|24.639761|25.327614], [523.7844|400.823|169.98473|217.08444|168.71385|264.82568|346.34775|245.91766|198.57632|113.47974], 1,10,10,10
41.33181, 59.250526, [18.465607|18.486797|20.070982|20.313137|21.32214|22.084131|22.887058|22.954802|23.34267|26.798254], [158.22127|447.2968|284.08978|462.01544|87.86427|368.51782|345.23026|294.02386|122.83149|205.45364], 1,10,10,10
14.449782, 327.32562, [16.548672|16.803064|17.456263|17.599026|20.146742|20.824087|21.014702|22.36689|25.181074|26.87651], [77.01537|153.85802|422.2132|287.20578|460.46347|147.51796|59.781372|312.8349|507.06046|277.50098], 1,10,10,10
22.76326, 509.01215, [16.912586|18.176945|20.34764|22.011465|22.464245|22.95004|24.667124|24.70692|25.105104|26.007803], [237.2574|264.1032|244.07603|337.9032|186.07286|405.1293|226.48889|139.03333|228.12628|92.10237], 1,10,10,10
22.500082, 280.57242, [16.704727|17.229902|19.722116|22.744514|23.13715|23.687153|24.92|24.928162|25.987629|26.005411], [57.03093|125.02775|236.43695|331.63287|248.35971|501.25842|50.603157|205.72|301.19522|368.84036], 1,10,10,10
38.039707, 33.618683, [16.039883|16.426786|16.68853|16.971403|18.532877|22.03173|24.310154|24.448359|24.554554|25.963638], [197.06581|318.2189|35.77666|137.1498|397.10898|220.36508|461.86813|100.57514|468.15427|368.99118], 2,10,10,10
9.348036, 41.223694, [18.879892|19.653076|19.889147|19.981146|21.092846|21.27359|22.616789|23.925762|24.389454|26.778057], [504.64334|80.5515|358.1335|456.56482|518.6101|201.18175|481.53812|84.71088|398.92325|301.15002], 1,10,10,10
33.061226, 280.29504, [16.736755|17.320028|18.352095|18.744463|20.615513|21.435728|22.850424|22.980278|24.75779|26.775177], [71.99974|360.55136|104.87342|511.9117|131.14055|453.7023|459.87054|363.01288|430.27432|371.1521], 1,10,10,10
43.260994, 243.86661, [17.814165|18.738216|19.70812|19.824112|20.135878|20.678507|21.858942|22.66252|23.040094|26.963802], [79.04348|232.04454|343.68442|377.4754|235.19867|243.05545|139.6381|453.54846|395.3148|91.99182], 1,10,10,10
33.691257, 126.196396, [18.836605|19.065907|19.51449|20.262827|20.911089|21.433718|23.209885|24.457924|25.303564|25.741978], [202.3578|428.87424|148.12729|149.02986|203.97046|320.1318|451.00427|278.9456|208.24458|302.631], 1,10,10,10
7.2509704, 110.176926, [16.719896|17.587854|17.8542|18.021612|18.43027|19.88093|22.01417|24.09325|24.303799|24.751936], [45.583134|118.137886|435.92242|434.05322|170.66977|53.302746|189.15654|260.6155|441.80875|232.89302], 1,10,10,10
40.764126, 139.61185, [16.94299|17.462234|18.876257|20.104643|21.193525|21.236834|21.95854|22.784975|23.81832|26.273336], [170.2997|378.79648|49.38181|405.47867|52.32392|325.2588|191.99825|155.07|131.02551|92.83855], 1,10,10,10
38.052967, 73.85905, [18.077408|19.507092|20.316326|22.040102|22.577272|23.14235|23.60872|24.027584|26.100082|26.731195], [76.18205|187.52583|369.1221|400.51428|118.05079|256.0727|92.6084|384.0571|459.06967|293.5697], 1,10,10,10
14.608306, 355.32874, [16.055721|17.639786|17.750288|18.191484|18.550028|19.731339|20.160505|21.869637|23.389147|24.684631], [129.2518|335.13113|283.33273|353.09967|218.19246|479.65814|130.03847|403.67084|403.46512|392.6832], 1,10,10,10
35.14704, 461.41745, [16.514605|16.735592|18.37399|20.99472|21.17628|22.832306|25.222527|25.530975|25.590994|26.90456], [471.58237|439.71512|103.388565|383.1633|526.9372|288.11072|339.81665|173.26167|487.1268|339.14413], 1,10,10,10
41.018288, 182.89198, [16.878088|18.202732|19.539717|21.743399|22.266037|22.575684|22.688997|23.810806|24.776615|25.762804], [455.42828|505.48453|525.7421|54.67542|61.42589|180.17566|105.56606|52.837822|163.96736|425.14276], 1,10,10,10
34.551476, 428.16653, [16.472874|16.937618|17.174656|18.395374|18.442924|18.732649|20.842005|22.766663|26.257917|26.624022], [104.877686|525.6796|441.61905|396.6518|387.24744|523.64453|367.74796|37.581856|262.2283|152.17577], 1,10,10,10
13.533253, 399.6737, [18.097847|19.463882|19.817703|20.557674|20.782236|21.972054|23.866737|24.041346|25.019258|25.912218], [267.21988|381.6143|428.6665|78.5194|134.67087|448.62497|479.35013|63.15786|237.93227|417.71808], 1,10,10,10
38.58086, 51.862774, [16.196754|16.197683|16.503424|17.376146|19.860237|20.211939|22.99649|23.761765|26.735546|26.941637], [528.0419|460.3994|56.02559|520.2957|396.73575|498.8058|499.5349|280.12292|374.70383|436.16168], 1,10,10,10
31.231283, 51.692516, [18.44231|18.981665|19.911646|20.11333|20.465483|20.87647|21.40009|21.765102|23.74209|25.038986], [84.92147|425.17587|75.254074|267.71832|163.25537|218.4321|195.81522|47.12331|212.03888|283.34842], 1,10,10,10
41.356895, 159.66556, [17.263733|18.301138|18.732899|18.974455|18.976582|19.13309|19.456686|22.879541|24.099987|26.47227], [89.57384|91.88077|166.61388|313.07416|446.02197|53.25778|212.27063|138.71501|464.08307|57.844128], 1,10,10,10
6.828802, 242.99019, [16.263014|17.652557|19.061184|20.472218|21.092382|22.131632|22.292936|24.00751|26.802176|26.996883], [202.58377|365.89276|61.74521|492.96948|260.71317|406.227|328.96375|450.83484|477.3185|199.84435], 1,10,10,10
43.084835, 149.79668, [16.041967|20.24957|20.699722|21.008495|21.181023|21.26564|22.162554|23.723398|25.279102|26.95936], [306.8603|209.71597|354.01495|442.53394|391.66592|118.69227|196.94344|215.81989|403.76535|54.186024], 1,10,10,10
