Max_Length,Max_Weight,Input_Length,Input_Weight,Next_Fit,First_Fit,Best_Fit_W_W,Best_Fit_W_L
33.70734,52.615635, [23.906088|22.76122|25.14547|16.951593|18.223377|26.599329|20.114614|25.544497|23.124012|25.375473], [5.856992|5.576499|6.1606402|4.1531405|4.4647274|6.5168357|4.9280806|6.258402|5.665383|6.216991],5,5,6,6
16.044285,84.89976, [20.768093|19.019352|16.674002|17.825693|20.077126|21.08101|17.713493|21.179611|24.391926|23.04238], [5.088183|4.6597414|4.08513|4.367295|4.9188957|5.164848|4.339806|5.189005|5.976022|5.645383],4,4,4,9
40.99162,297.41006, [20.986055|25.204136|17.722002|25.418873|22.905546|17.305868|21.316904|23.68923|24.836592|21.517305], [5.1415834|6.175013|4.3418903|6.227624|5.611859|4.239938|5.2226415|5.803861|6.0849648|5.27174],2,2,2,10
12.814504,503.29224, [24.933947|22.221453|19.531828|24.270552|20.50374|24.626951|18.981821|21.03093|19.516504|26.343029], [6.108817|5.444256|4.785298|5.9462852|5.0234165|6.033603|4.650546|5.152578|4.7815437|6.454042],5,5,5,10
31.112965,361.34155, [25.233454|18.61836|17.59969|18.923492|25.557161|16.221407|19.183231|26.725096|22.807484|16.080503], [6.182196|4.561498|4.311924|4.6362557|6.2615047|3.9742446|4.6998916|6.5476484|5.5878334|3.9397233],2,2,2,10
13.944026,138.12793, [18.875013|18.007368|20.344505|17.225567|22.00798|21.677673|17.370855|21.815563|24.682976|22.217617], [4.624378|4.411805|4.9844036|4.220264|5.3919554|5.31103|4.2558594|5.344813|6.047329|5.443316],5,5,5,9
18.081755,128.08153, [26.210197|22.721046|16.221483|16.336023|16.773312|19.370466|20.653746|17.439314|18.739813|17.312748], [6.4214983|5.5666566|3.9742634|4.0023255|4.1094613|4.7457643|5.060168|4.272632|4.591254|4.2416234],3,3,3,9
12.829397,398.0582, [21.539988|25.55018|24.74082|21.84165|21.98806|23.49521|22.849468|19.63234|26.996658|25.419668], [5.277297|6.259794|6.061501|5.3512044|5.3870745|5.7563267|5.5981197|4.809923|6.6141815|6.2278185],6,6,6,10
7.787467,55.57652, [25.11621|18.300444|25.960226|16.660727|26.81916|19.046803|17.524275|16.302475|25.147686|23.784662], [6.1534715|4.4836087|6.3602552|4.081878|6.5706944|4.6664667|4.2934475|3.9941063|6.161183|5.8272424],10,10,10,10
31.759468,522.435, [16.122467|26.190733|18.28474|20.591394|25.428286|22.84682|18.19651|23.509981|24.265512|23.157318], [3.9500043|6.4167295|4.4797616|5.044892|6.22993|5.597471|4.458145|5.7599454|5.9450507|5.673543],2,2,2,10
10.238311,267.77884, [22.606113|16.810577|23.828072|19.445944|20.846594|20.948948|18.577692|21.312878|25.91524|16.813295], [5.538498|4.1185913|5.8378778|4.7642565|5.1074157|5.132492|4.5515347|5.221655|6.3492336|4.1192575],7,6,6,10
10.255329,258.88846, [21.394451|23.454645|18.166983|24.703857|19.36787|19.38416|25.584068|26.456467|18.265436|25.550451], [5.2416406|5.746388|4.4509106|6.052445|4.745128|4.749119|6.268097|6.4818344|4.475032|6.2598605],8,7,7,10
