Max_Length,Max_Weight,Input_Length,Input_Weight,Next_Fit,First_Fit,Best_Fit_W_L,Best_Fit_W_W
20.89002, 515.4885, [16.300314|16.959332|18.347755|20.482824|20.633871|21.916239|22.18496|24.406322|24.524416|24.931221], [3.993577|4.1550364|4.4952|5.018292|5.0552983|5.3694787|5.435315|5.979549|6.008482|6.108149], 3,10,3,10
38.573074, 200.66919, [18.202911|19.407413|20.983425|21.120665|22.340897|22.54795|23.839418|24.466232|25.609627|26.869843], [4.4597135|4.7548165|5.140939|5.174563|5.47352|5.524248|5.8406577|5.994227|6.2743587|6.5831113], 2,10,2,8
22.925585, 330.5051, [17.831337|21.563105|21.584692|21.927185|22.275394|22.943655|22.969624|23.881754|25.893202|26.077787], [4.3686776|5.2829604|5.2882495|5.3721604|5.457472|5.6211953|5.6275578|5.85103|6.3438344|6.389058], 3,10,3,10
15.972241, 483.1773, [16.908072|17.490751|18.65573|20.729664|21.807789|23.316908|23.868174|24.772554|24.918577|26.468142], [4.1424775|4.285234|4.570654|5.078768|5.3429084|5.7126427|5.8477025|6.069276|6.1050515|6.4846945], 5,10,5,10
39.492653, 40.486797, [17.568611|17.5905|17.884735|20.23442|20.263174|23.845667|25.776676|25.965208|26.228453|26.57866], [4.30431|4.3096724|4.38176|4.957433|4.9644775|5.8421884|6.3152857|6.361476|6.425971|6.5117717], 8,10,9,9
42.639286, 243.56935, [17.559866|17.964495|19.568872|19.833057|21.172443|22.031082|23.203484|25.482843|25.86738|26.418447], [4.302167|4.4013014|4.7943735|4.859099|5.1872487|5.397615|5.6848536|6.2432966|6.337508|6.47252], 2,10,2,8
7.20528, 257.9472, [16.433819|18.815924|20.440271|22.05257|22.338978|22.619213|23.1017|24.044447|24.468502|24.852636], [4.0262856|4.6099014|5.0078664|5.4028797|5.4730496|5.541707|5.6599164|5.8908896|5.994783|6.088896], 10,10,10,10
15.895728, 55.14261, [16.480898|17.010448|17.871897|18.523476|20.933613|21.210785|23.42142|25.251102|25.255463|25.767769], [4.03782|4.16756|4.378615|4.5382514|5.128735|5.1966424|5.738248|6.18652|6.187588|6.313103], 5,10,5,5
15.324304, 236.57605, [16.626108|17.59163|18.688696|19.704134|19.906279|22.39943|22.699263|24.464245|24.95978|25.234158], [4.0733967|4.3099494|4.5787306|4.8275127|4.8770385|5.48786|5.5613194|5.99374|6.115146|6.1823688], 4,10,4,9
6.1800823, 358.93674, [16.669699|18.024094|19.413443|19.910812|20.673262|21.724504|23.042862|23.764002|26.128149|26.8818], [4.0840764|4.415903|4.7562933|4.878149|5.064949|5.3225036|5.645501|5.8221803|6.4013968|6.586041], 8,10,10,10
10.506904, 283.64874, [18.458597|18.545692|20.68601|21.310034|21.689772|23.11312|23.434622|23.53845|24.324299|24.866503], [4.5223565|4.5436945|5.0680723|5.220958|5.313994|5.662714|5.7414823|5.76692|5.959453|6.0922933], 8,10,8,10
36.610126, 59.458336, [16.277288|16.704866|17.90339|18.92916|19.852463|20.352814|20.405045|22.874483|24.422003|24.90751], [3.9879358|4.0926924|4.3863306|4.637644|4.8638535|4.986439|4.999236|5.6042485|5.983391|6.10234], 4,10,5,5
6.754603, 411.54132, [16.528679|19.3917|19.749151|20.21536|20.904776|21.997957|22.264868|24.628601|25.514784|26.414839], [4.049526|4.7509665|4.838542|4.9527636|5.1216702|5.3894997|5.4548926|6.034007|6.251122|6.4716353], 10,10,10,10
38.914394, 497.86856, [19.225004|19.227167|19.297773|19.662212|19.702263|21.709427|22.717339|24.786356|25.27431|26.738214], [4.710126|4.710656|4.7279544|4.817242|4.8270545|5.3188095|5.5657477|6.072657|6.192206|6.550863], 2,10,2,10
27.48486, 259.879, [17.825266|17.974838|18.295786|19.188456|20.970762|22.7091|23.335588|25.515467|25.613342|25.766998], [4.3671904|4.4038353|4.4824677|4.7011714|5.137837|5.56373|5.7172194|6.2512894|6.275269|6.3129144], 3,10,3,9
42.673676, 357.78647, [16.61983|20.79099|21.384378|21.718328|22.464872|22.634647|22.87164|23.08799|23.351194|23.494198], [4.071858|5.093793|5.239173|5.3209906|5.503894|5.545489|5.6035514|5.6565576|5.7210426|5.7560782], 2,10,2,10
38.0318, 435.0947, [17.408836|19.84623|19.86783|20.14447|20.228928|22.87281|24.920366|25.305351|25.683733|26.778522], [4.265165|4.862326|4.8676186|4.9353952|4.956087|5.6038384|6.1054897|6.199811|6.292515|6.560738], 2,10,2,10
35.98506, 250.10991, [16.490164|16.570652|17.097525|17.854502|19.599953|19.79212|20.82054|22.985296|23.029686|23.975695], [4.04009|4.0598097|4.1888933|4.374353|4.8019886|4.8490696|5.1010323|5.6313977|5.642273|5.8740454], 2,10,2,9
18.832233, 529.42566, [16.013577|16.515045|16.9059|18.011034|19.387955|19.578638|20.438362|21.104597|22.081932|22.10939], [3.9233263|4.046186|4.1419454|4.4127035|4.750049|4.7967663|5.0073986|5.170626|5.4100733|5.4168005], 3,10,3,10
6.332218, 277.50714, [16.339153|18.009241|20.485317|20.501238|21.479748|22.532475|24.157022|24.888397|26.264332|26.432318], [4.003093|4.412264|5.018903|5.0228033|5.2625384|5.5204563|5.9184704|6.097657|6.4347615|6.475918], 8,10,10,10
25.050358, 228.62523, [19.395056|20.349178|20.809439|21.082357|21.415052|22.51025|22.721676|23.729395|24.363321|24.80338], [4.7517886|4.9855485|5.0983124|5.1651773|5.246688|5.5150113|5.5668106|5.8137016|5.9690137|6.076828], 3,10,3,9
12.326521, 56.48045, [17.634972|18.430622|19.95245|19.964344|20.533092|20.57143|22.890152|23.644085|24.289555|26.283743], [4.320568|4.5155025|4.88835|4.8912644|5.0306077|5.0400004|5.608087|5.792801|5.950941|6.439517], 6,10,6,6
9.635798, 523.91693, [17.330198|17.649233|17.788115|18.042274|18.390038|22.034153|23.046001|24.25068|24.877167|26.071545], [4.2458987|4.324062|4.358088|4.420357|4.505559|5.3983674|5.6462703|5.9414167|6.094906|6.3875284], 8,10,8,10
28.934475, 279.15518, [16.983315|17.474024|18.222832|19.350716|21.242033|22.390768|23.140688|23.736301|24.973618|26.44601], [4.160912|4.281136|4.464594|4.7409253|5.204298|5.4857383|5.6694684|5.815394|6.1185365|6.4792724], 2,10,2,10
21.73669, 164.9686, [16.438614|17.024204|18.383398|21.440504|22.216757|23.848988|25.164291|25.358192|25.402102|25.56519], [4.0274606|4.17093|4.5039325|5.2529235|5.443105|5.843002|6.1652513|6.212757|6.223515|6.2634716], 3,10,3,9
25.861639, 513.1957, [17.95614|17.988792|20.062729|20.590921|22.197016|22.998095|23.209383|23.307531|24.338364|26.64698], [4.3992543|4.407254|4.9153686|5.044776|5.4382687|5.634533|5.686299|5.7103453|5.962899|6.52851], 3,10,3,10
27.038273, 150.91344, [16.06695|16.52907|19.319712|20.16863|20.905838|22.06966|22.236097|23.41138|23.74789|25.776907], [3.9364028|4.049622|4.7333293|4.9413147|5.12193|5.407067|5.447844|5.7357883|5.818233|6.3153424], 3,10,3,9
41.353767, 87.50109, [19.022081|20.147104|21.239513|22.83538|24.0541|24.116379|24.180332|26.136734|26.391186|26.987318], [4.66041|4.9360404|5.203681|5.5946684|5.8932543|5.9085126|5.9241815|6.4034996|6.4658403|6.6118927], 3,10,4,4
20.884674, 123.69594, [16.096415|17.262241|17.485876|17.88227|18.297024|18.811846|19.064386|22.021137|22.86055|25.858076], [3.9436216|4.229249|4.2840395|4.3811564|4.482771|4.608902|4.6707745|5.395179|5.600835|6.3352284], 3,10,3,8
23.4985, 519.5828, [16.53337|18.842024|19.74451|19.830797|20.569202|20.87945|23.103832|23.433737|24.712389|26.561121], [4.0506754|4.616296|4.837405|4.8585453|5.0394545|5.115465|5.660439|5.7412653|6.0545354|6.5074744], 3,10,3,10
14.725201, 212.26935, [16.526442|16.950068|18.692196|18.85913|20.203321|20.300058|20.516293|21.524149|23.357208|23.987888], [4.0489783|4.1527667|4.579588|4.620487|4.949814|4.973514|5.0264916|5.2734165|5.722516|5.8770328], 4,10,4,10
6.7472744, 49.776608, [16.340555|16.9073|17.399305|20.0597|22.710434|23.132788|23.26109|23.667719|26.269035|26.40523], [4.003436|4.1422887|4.26283|4.9146266|5.5640564|5.667533|5.698967|5.798591|6.4359136|6.469281], 10,10,10,10
36.31859, 458.42255, [16.520916|19.534004|19.706888|19.83421|20.316265|25.045946|25.378565|25.637173|26.426477|26.507366], [4.0476246|4.785831|4.8281875|4.859381|4.977485|6.1362567|6.217748|6.2811074|6.474487|6.4943047], 2,10,2,10
22.479305, 30.69096, [16.181412|18.446796|19.441273|19.751791|20.1471|20.667591|20.931007|21.075134|23.134457|25.33741], [3.9644458|4.519465|4.7631116|4.8391886|4.9360394|5.06356|5.1280966|5.163408|5.667942|6.2076654], 10,10,10,10
18.916609, 100.26338, [16.330492|16.945143|18.600657|20.041674|20.789513|22.506104|22.920406|23.221867|23.797846|26.54888], [4.0009704|4.15156|4.557161|4.91021|5.0934305|5.513995|5.6154995|5.6893573|5.830472|6.5044756], 3,10,3,9
16.647213, 460.54477, [16.381832|16.833822|16.875704|20.133173|20.741787|21.944172|23.515926|23.79473|25.204288|26.924381], [4.013549|4.1242867|4.134547|4.932627|5.081738|5.3763223|5.761402|5.8297086|6.1750507|6.596473], 4,10,4,10
14.540658, 116.63594, [16.438185|17.384016|18.387358|19.087917|19.88546|19.927732|20.238825|21.301819|22.34186|25.332256], [4.027355|4.2590837|4.504903|4.67654|4.8719378|4.8822947|4.9585123|5.2189455|5.473756|6.206403], 4,10,4,9
18.075798, 150.29608, [17.923622|19.95382|20.130606|20.157728|21.033264|21.712255|22.060846|23.561274|26.14126|26.64762], [4.3912873|4.8886857|4.9319983|4.9386435|5.1531496|5.319503|5.404907|5.772512|6.4046087|6.5286665], 4,10,4,9
36.857815, 35.999065, [17.094593|18.176126|18.707848|19.12646|20.620947|20.969278|22.001175|24.414454|24.521667|25.05221], [4.188175|4.4531507|4.5834227|4.6859827|5.052132|5.137473|5.390288|5.981541|6.0078087|6.1377916], 9,10,10,10
24.994534, 105.71462, [16.764229|17.156054|17.357645|20.327438|20.359241|21.512135|23.42201|23.467884|25.785563|25.900658], [4.107236|4.2032332|4.252623|4.980222|4.988014|5.270473|5.7383924|5.7496314|6.317463|6.345661], 3,10,3,9
27.705984, 178.54344, [17.004133|17.483683|18.72327|20.771803|21.94984|22.511415|24.455667|24.7445|25.73342|26.724005], [4.166013|4.283502|4.587201|5.089092|5.377711|5.515297|5.9916387|6.0624022|6.304688|6.5473814], 3,10,3,9
