Max_Length,Max_Weight,Input_Length,Input_Weight,Next_Fit,First_Fit,Best_Fit_W_W,Best_Fit_W_L
33.474293,457.4561, [6.430657|16.634485|10.26859|11.271714|13.604328|11.652779|8.861496|15.663168|11.546285|16.247313], [1.575511|4.075449|2.5158045|2.76157|3.3330605|2.8549309|2.1710665|3.8374763|2.8288398|3.9805915],5,4,5,5
11.845599,284.27292, [10.480649|9.3566065|6.4026394|13.82522|15.931268|16.743725|15.46669|9.244139|13.595511|11.147828], [2.567759|2.2923687|1.5686467|3.387179|3.9031606|4.1022124|3.789339|2.264814|3.3309002|2.7312179],5,10,10,10
36.861366,480.3616, [13.654238|9.930004|10.699514|7.738709|14.266312|8.100806|12.617833|8.663922|15.510993|15.819049], [3.3452883|2.432851|2.621381|1.8959837|3.4952464|1.9846976|3.0913692|2.1226609|3.8001933|3.875667],4,4,4,5
26.473755,413.38168, [6.0575566|7.4242406|16.611341|9.669766|12.631881|12.13111|12.875526|7.724979|11.6225605|16.25824], [1.4841014|1.818939|4.0697784|2.3690927|3.0948107|2.972122|3.154504|1.8926198|2.8475273|3.9832687],6,5,6,6
43.61278,46.468826, [16.852896|12.410892|12.866181|12.155955|10.30769|15.431258|15.853151|6.3549523|13.376641|14.602318], [4.1289597|3.0406685|3.1522145|2.978209|2.525384|3.7806582|3.884022|1.5569633|3.2772772|3.5775678],4,4,4,4
27.837313,210.96338, [10.074375|9.084539|15.902988|14.700917|15.698849|6.2785735|11.124793|12.472224|15.461109|8.015047], [2.468222|2.225712|3.8962321|3.6017246|3.8462179|1.5382506|2.7255743|3.055695|3.7879717|1.9636866],6,5,6,6
22.494099,480.51477, [8.868491|6.649747|12.502226|15.468535|8.747804|16.158491|11.754417|10.71994|9.524587|7.3205543], [2.1727803|1.629188|3.0630453|3.789791|2.1432118|3.9588304|2.8798323|2.6263855|2.3335238|1.7935358],7,6,7,7
32.87831,376.18347, [9.279181|15.446965|10.520594|12.622981|12.291729|6.238772|10.794448|16.517197|14.875106|12.967459], [2.273399|3.7845066|2.5775454|3.0926304|3.0114737|1.5284991|2.6446397|4.0467134|3.6444008|3.1770275],5,5,5,5
23.645632,133.22205, [12.510008|13.292887|15.096615|9.152146|16.677406|8.272239|7.6155744|15.242889|12.264923|7.681287], [3.064952|3.2567573|3.6986706|2.242276|4.0859647|2.0266986|1.8658158|3.7345078|3.0049062|1.8819152],8,6,6,6
24.745287,333.24478, [6.7632437|16.206797|8.3898535|15.795533|7.3559976|16.764584|14.640732|16.131289|10.509656|8.6016865], [1.6569947|3.9706652|2.055514|3.8699057|1.8022194|4.107323|3.5869794|3.9521656|2.5748658|2.1074133],6,6,7,7
25.413004,320.49277, [10.543903|16.260983|11.614175|15.5394745|13.581321|14.605442|8.302997|12.988494|15.294017|13.833233], [2.5832562|3.9839406|2.8454728|3.8071713|3.3274236|3.5783334|2.0342343|3.1821811|3.747034|3.389142],9,8,8,8
41.805645,491.86703, [7.8630714|6.7052298|15.852712|9.856407|15.8049555|10.4317465|9.932305|9.719143|9.723173|15.540046], [1.9264525|1.6427813|3.8839145|2.4148197|3.872214|2.5557778|2.4334147|2.38119|2.3821774|3.8073113],3,3,4,4
9.653096,231.33682, [15.016735|9.105472|16.02328|6.9631734|16.647888|7.132307|15.5260935|9.094478|9.994238|12.93544], [3.6791|2.2308404|3.9257033|1.7059774|4.0787325|1.7474152|3.8038929|2.228147|2.4485884|3.1691828],5,10,10,10
43.5208,47.23345, [13.914363|15.100729|9.7208605|15.110636|12.773484|11.447031|8.5579|11.320243|13.828375|12.022257], [3.409019|3.6996787|2.3816109|3.7021058|3.1295037|2.8045225|2.0966856|2.7734594|3.3879519|2.945453],4,4,4,4
