Max_Length,Max_Weight,Input_Length,Input_Weight,Next_Fit,First_Fit,Best_Fit_W_L,Best_Fit_W_W
9.021968, 347.44107, [25.30464|17.700981|25.616121|22.647753|26.524946|17.482153|22.736328|26.49737|21.622696|24.226658], [213.94664|163.21794|329.72266|501.37363|235.96796|134.57861|171.16681|435.13242|161.6455|43.569473], 1,10,10,10
40.501534, 471.70987, [26.152817|23.589758|20.481388|25.897335|16.302195|17.921465|20.920525|20.708416|16.573292|23.101444], [219.01642|148.9285|179.74304|444.2636|478.29706|330.57867|349.16986|185.04518|408.74747|44.97381], 1,10,10,10
23.620928, 323.92908, [18.620901|22.834803|18.42181|18.5014|23.427927|18.584364|20.627117|21.475285|22.969002|21.726711], [137.29869|194.29245|469.1259|360.99884|49.014156|454.03635|527.0032|39.307392|179.3941|81.12531], 1,10,10,10
38.046143, 509.21582, [18.841084|17.34298|25.741037|18.650505|17.374819|21.55275|23.188065|19.63706|16.684301|16.560905], [509.5055|59.082035|366.46387|251.52373|275.97858|248.59521|503.38464|222.70154|83.40458|206.612], 1,10,10,10
23.221764, 429.96866, [25.74135|20.496527|18.349995|17.29598|26.68666|24.425636|26.643454|21.212664|23.165855|17.897785], [519.9127|239.7324|266.32666|393.27908|453.95126|393.8676|342.27768|369.89456|299.58423|284.99902], 1,10,10,10
42.107307, 269.0664, [23.925415|18.338167|22.599857|19.68643|17.44398|26.823221|22.540005|23.518215|23.797808|19.418488], [528.3452|125.569855|149.96805|184.33463|236.86476|219.07928|512.2722|233.20375|198.74748|50.42849], 1,10,10,10
41.82551, 277.59692, [22.7107|19.61364|24.984451|23.083614|16.214542|25.764067|25.411192|16.921034|19.379421|22.848404], [150.7722|121.282906|499.82364|244.50554|83.80947|167.26894|90.36049|281.99854|116.30098|49.019764], 1,10,10,10
35.48352, 410.86807, [24.084005|19.690933|23.727242|24.535858|22.162523|26.012901|16.421553|22.850346|24.606936|25.93495], [282.7571|481.8062|135.0969|321.00467|215.13606|120.589134|187.3953|40.81254|420.13416|442.04324], 1,10,10,10
33.082893, 73.08553, [22.115316|23.932758|21.087734|22.083109|16.988426|25.094675|19.458838|21.40722|19.9135|21.441076], [378.91043|364.8205|458.96017|32.022263|411.06647|268.4456|105.48|177.70874|413.71213|235.1595], 2,10,10,10
13.465592, 292.60004, [21.682266|26.250397|25.500183|16.66804|16.333464|22.18532|22.054802|24.021408|20.190592|25.379715], [492.91925|487.6507|93.830154|193.68748|530.25684|299.34192|461.8336|418.37024|116.69722|306.85992], 1,10,10,10
24.911613, 447.1122, [16.44296|20.140535|25.744343|20.643335|25.416721|18.067247|16.728289|19.620754|19.969702|24.56097], [509.8855|447.21887|77.16794|246.66377|157.61026|412.9041|505.69037|276.57492|83.41537|452.9287], 1,10,10,10
11.699516, 69.67826, [21.546902|20.907005|20.297579|21.236408|18.144424|16.401896|23.694946|26.568243|19.216494|19.529413], [201.10922|472.80203|244.70139|283.60324|180.83292|153.84003|348.45853|219.37779|512.60236|454.75385], 1,10,10,10
36.974033, 453.95245, [16.49044|26.73008|26.336588|22.376953|19.604029|17.174843|18.352324|25.118858|20.81583|17.304354], [454.1519|278.0025|63.56722|421.44342|347.3536|35.678158|218.4047|501.35828|173.23303|218.55443], 2,10,10,10
40.944603, 244.43427, [17.655039|24.578587|16.255358|21.955875|18.050997|23.341307|16.205706|17.118038|26.893185|19.250313], [194.86812|413.57584|308.86743|120.10611|384.1649|377.31747|43.326336|76.50637|444.76486|109.641525], 1,10,10,10
32.787395, 103.8191, [21.967316|21.304245|26.706848|24.990202|22.73561|25.799742|17.08085|25.448488|22.817236|24.975407], [245.99612|378.51767|344.5663|442.2554|253.32733|514.431|136.09225|280.70673|465.78378|207.1924], 1,10,10,10
40.055653, 262.07483, [17.796204|21.831072|23.425488|16.269787|25.676395|25.285202|24.909672|19.003002|24.004225|21.037165], [408.0455|199.19572|166.61159|530.017|481.53217|471.98944|529.19086|524.73975|435.07645|396.36374], 1,10,10,10
6.840785, 494.9401, [23.864643|19.701387|23.26513|18.388327|23.94463|22.866798|16.36192|16.46725|23.64428|25.411808], [391.3618|137.86084|296.0244|182.75276|201.51779|127.919395|139.94182|103.33347|505.3811|126.99601], 1,10,10,10
32.072895, 287.9476, [25.763958|24.987797|18.015255|20.471521|21.812483|21.297792|25.121454|19.514936|17.294218|23.215857], [57.913975|470.78195|206.40416|176.33818|434.85223|224.6759|162.2626|524.07056|436.08823|224.43208], 1,10,10,10
6.7725883, 86.26948, [23.484896|18.179863|23.612421|20.346058|20.07104|21.673386|16.113766|16.303825|18.73369|26.947617], [410.13947|431.65433|260.5597|216.8067|388.74628|161.18561|370.59085|406.05237|34.62167|63.78006], 1,10,10,10
43.220875, 299.03973, [19.539213|16.13502|23.022894|16.108767|24.731316|24.949308|22.129868|22.898272|23.81914|24.008522], [170.96513|83.12205|349.58246|184.50429|83.064255|81.80006|466.0611|417.74518|225.07858|47.15044], 1,10,10,10
11.488704, 378.87732, [23.262619|19.904335|21.468073|20.39881|17.673048|21.940805|25.660728|24.993437|18.752518|17.266256], [483.34308|233.95851|218.69415|141.03911|260.51404|319.07416|50.412373|386.6422|501.4341|405.27573], 1,10,10,10
24.72233, 144.08316, [19.23886|17.641228|17.131546|24.817818|25.546638|22.112078|17.660112|17.468157|20.622452|23.807203], [406.5152|74.05044|239.24539|189.71124|206.38399|382.03708|116.51944|385.46756|327.51602|130.42934], 1,10,10,10
10.203219, 138.05605, [21.645016|24.140026|17.313448|20.632765|23.510633|17.763811|17.148592|25.815134|25.390491|23.497063], [233.03105|261.1469|240.73103|83.852036|456.9563|502.2387|507.3361|62.97314|74.35919|231.57639], 1,10,10,10
38.091095, 205.4305, [22.321047|18.674036|21.175665|17.710878|19.301235|25.192871|19.017717|26.684608|18.253746|23.805895], [254.85867|520.85144|184.08278|281.5884|135.46814|151.00691|126.40958|514.72955|136.09859|454.25964], 1,10,10,10
18.876554, 40.018963, [19.347553|24.880442|22.194407|19.730648|17.48507|22.923|17.003977|23.00511|17.290049|19.165615], [434.8643|480.45673|432.5587|216.15057|393.86212|247.72139|190.76015|346.13504|59.427692|323.3193], 1,10,10,10
